food_category
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
2
5
11
9
10
6
7
8
1
4
3
