country,food_category,consumption,co2_emission
Hong Kong SAR. China,3,42.44,67.76
Hong Kong SAR. China,2,14.5,13.32
Hong Kong SAR. China,5,105.85,150.77
Hong Kong SAR. China,11,53.14,10.13
Hong Kong SAR. China,9,43.48,55.64
Hong Kong SAR. China,10,2.79,1.26
Hong Kong SAR. China,6,13.81,24.44
French Polynesia,7,14.75,52.21
French Polynesia,8,49.55,53.23
French Polynesia,1,30.9,953.51
French Polynesia,4,2.83,99.11
French Polynesia,3,38.95,62.19
French Polynesia,2,8.75,8.04
French Polynesia,5,93.56,133.27
French Polynesia,11,68.67,13.1
French Polynesia,9,35.59,45.54
French Polynesia,10,0.77,0.35
French Polynesia,6,2.34,4.14
Israel,7,1.99,7.04
Israel,8,62.5,67.14
Israel,1,28.78,888.09
Israel,4,1.87,65.49
Israel,3,22.18,35.41
Israel,2,11.35,10.43
Israel,5,193.6,275.76
Israel,11,110.86,21.14
Israel,9,16.81,21.51
Israel,10,0.1,0.05
Israel,6,7.71,13.65
Switzerland,7,31.49,111.46
Switzerland,8,16.38,17.6
Switzerland,1,21.26,656.04
Switzerland,4,1.42,49.73
Switzerland,3,13.48,21.52
Switzerland,2,10.53,9.67
Switzerland,5,318.69,453.94
Switzerland,11,89.51,17.07
Switzerland,9,2.43,3.11
Switzerland,10,0.44,0.2
Switzerland,6,9.27,16.41
Netherlands,7,36.36,128.7
Netherlands,8,23.9,25.67
Netherlands,1,17.67,545.26
Netherlands,4,0.94,32.92
Netherlands,3,18.64,29.76
Netherlands,2,14.03,12.89
Netherlands,5,341.47,486.39
Netherlands,11,70.17,13.38
Netherlands,9,2.93,3.75
Netherlands,10,0.12,0.05
Netherlands,6,7.94,14.05
Kuwait,7,0,0
Kuwait,8,53.61,57.59
Kuwait,1,13.03,402.08
Kuwait,4,15.61,546.66
Kuwait,3,11.99,19.14
Kuwait,2,12.6,11.57
Kuwait,5,157.66,224.57
Kuwait,11,96.76,18.45
Kuwait,9,43.83,56.09
Kuwait,10,0.06,0.03
Kuwait,6,5.23,9.26
United Kingdom,7,25.79,91.28
United Kingdom,8,31.55,33.89
United Kingdom,1,18.12,559.15
United Kingdom,4,4.49,157.24
United Kingdom,3,15.49,24.73
United Kingdom,2,11.08,10.18
United Kingdom,5,232.2,330.75
United Kingdom,11,98.63,18.81
United Kingdom,9,6.39,8.18
United Kingdom,10,0.05,0.02
United Kingdom,6,4.18,7.4
Austria,7,52.56,186.04
Austria,8,18.61,19.99
Austria,1,17.14,528.9
Austria,4,1.16,40.62
Austria,3,12.16,19.42
Austria,2,14.68,13.49
Austria,5,258.09,367.62
Austria,11,81.1,15.47
Austria,9,3.7,4.73
Austria,10,2.06,0.93
Austria,6,7.88,13.95
Oman,7,0.01,0.04
Oman,8,31.51,33.85
Oman,1,15.1,465.95
Oman,4,12.87,450.71
Oman,3,21.56,34.42
Oman,2,7.8,7.17
Oman,5,152.28,216.91
Oman,11,64.1,12.22
Oman,9,56.55,72.37
Oman,10,0.21,0.09
Oman,6,1.68,2.97
Italy,7,40.28,142.57
Italy,8,18.61,19.99
Italy,1,18.6,573.96
Italy,4,0.92,32.22
Italy,3,15.6,24.91
Italy,2,13.34,12.25
Italy,5,246.88,351.66
Italy,11,146.37,27.91
Italy,9,5.74,7.35
Italy,10,0.01,0
Italy,6,7.63,13.51
Bahamas,7,32.74,115.88
Bahamas,8,45.74,49.13
Bahamas,1,19.92,614.69
Bahamas,4,5.22,182.8
Bahamas,3,18.8,30.02
Bahamas,2,6.2,5.7
Bahamas,5,104.76,149.22
Bahamas,11,39.98,7.62
Bahamas,9,23.97,30.67
Bahamas,10,0.09,0.04
Bahamas,6,4.03,7.13
Portugal,7,37.91,134.18
Portugal,8,30.14,32.38
Portugal,1,16.45,507.61
Portugal,4,2.38,83.35
Portugal,3,45.39,72.47
Portugal,2,9.05,8.31
Portugal,5,205.04,292.06
Portugal,11,94.3,17.98
Portugal,9,14.86,19.02
Portugal,10,0.01,0
Portugal,6,3.91,6.92
Malta,7,34.24,121.19
Malta,8,26.4,28.36
Malta,1,19.22,593.09
Malta,4,1.19,41.67
Malta,3,24.58,39.25
Malta,2,11.64,10.69
Malta,5,190.06,270.72
Malta,11,139.58,26.62
Malta,9,4.96,6.35
Malta,10,0.05,0.02
Malta,6,5.62,9.95
Armenia,7,9.67,34.23
Armenia,8,13.35,14.34
Armenia,1,19.66,606.67
Armenia,4,3.02,105.76
Armenia,3,4.36,6.96
Armenia,2,11.69,10.74
Armenia,5,209.03,297.74
Armenia,11,130.6,24.91
Armenia,9,3.18,4.07
Armenia,10,0,0
Armenia,6,2.55,4.51
Slovenia,7,28.19,99.78
Slovenia,8,23.46,25.2
Slovenia,1,18.43,568.71
Slovenia,4,0.79,27.67
Slovenia,3,7.76,12.39
Slovenia,2,9.36,8.6
