set_num,part_num,color_id,quantity
7965-1,63868,71,62
7965-1,3023,0,60
7965-1,3021,72,46
7965-1,2780,0,37
7965-1,60478,72,36
7965-1,6636,71,34
7965-1,3009,71,28
7965-1,3665,71,22
7965-1,2412b,72,20
7965-1,3010,71,19
7965-1,3004,71,18
7965-1,3022,19,17
7965-1,3795,72,17
7965-1,3678b,71,16
7965-1,2456,71,14
7965-1,3020,72,14
7965-1,50950,71,14
7965-1,92099,72,14
7965-1,3023,19,13
7965-1,44728,0,13
7965-1,6141,19,13
7965-1,6249,72,13
7965-1,47397,71,12
7965-1,47398,71,12
7965-1,3895,71,11
7965-1,63864,71,10
7965-1,3002,71,9
7965-1,3069b,71,9
7965-1,3666,72,9
7965-1,3700,71,9
7965-1,4150,71,9
7965-1,3031,72,8
7965-1,30357,72,8
7965-1,30374,71,8
7965-1,30565,72,8
7965-1,3069b,72,8
7965-1,3069b,19,8
7965-1,32064b,71,8
7965-1,3460,0,8
7965-1,3622,71,8
7965-1,3710,72,8
7965-1,3710,71,8
7965-1,3747b,71,8
7965-1,4274,71,8
7965-1,48092,71,8
7965-1,59900,71,8
7965-1,85080,71,8
7965-1,85984,71,8
7965-1,87620,0,8
7965-1,2420,71,7
7965-1,298c02,71,7
7965-1,3021,71,7
7965-1,3623,0,7
7965-1,3666,19,7
7965-1,2723,0,6
7965-1,3040b,71,6
7965-1,3062b,19,6
7965-1,3068b,71,6
7965-1,3069b,320,6
7965-1,3894,71,6
7965-1,4079b,70,6
7965-1,4162,71,6
7965-1,51739,71,6
7965-1,6558,1,6
7965-1,88072,0,6
7965-1,3023,72,5
7965-1,3027,71,5
7965-1,4175,72,5
7965-1,6141,72,5
7965-1,2420,0,4
7965-1,2877,72,4
7965-1,30000,71,4
7965-1,3001,19,4
7965-1,3020,71,4
7965-1,3023,33,4
7965-1,3039,0,4
7965-1,32028,71,4
7965-1,32140,71,4
7965-1,3308,71,4
7965-1,3623,71,4
7965-1,3703,72,4
7965-1,3794b,71,4
7965-1,3958,72,4
7965-1,3958,71,4
7965-1,4460b,71,4
7965-1,44661,72,4
7965-1,4519,71,4
7965-1,48336,71,4
7965-1,59900,4,4
7965-1,61184,71,4
7965-1,6628,0,4
7965-1,88930,71,4
7965-1,92280,71,4
7965-1,93274,71,4
7965-1,12825,72,3
7965-1,2458,71,3
7965-1,2780,0,3
7965-1,3004,320,3
7965-1,30377,71,3
7965-1,3039pr0014,0,3
7965-1,30504,71,3
7965-1,3069b,28,3
7965-1,3679,71,3
7965-1,3680,0,3
7965-1,3795,19,3
7965-1,3795,71,3
7965-1,3832,71,3
7965-1,4150,0,3
7965-1,4865b,0,3
7965-1,52107,14,3
7965-1,54383,71,3
7965-1,54384,71,3
7965-1,58247,0,3
7965-1,60477,72,3
7965-1,6141,19,3
7965-1,64567,80,3
7965-1,88072,4,3
7965-1,2412b,320,2
7965-1,2431,72,2
7965-1,2431,19,2
7965-1,2453a,72,2
7965-1,2460,72,2
7965-1,2460,0,2
7965-1,2817,4,2
7965-1,298c02,71,2
7965-1,3003,19,2
7965-1,3004,0,2
7965-1,3020,4,2
7965-1,3021,1,2
7965-1,3024,19,2
7965-1,3029,71,2
7965-1,3035,71,2
7965-1,30355,71,2
7965-1,30356,71,2
7965-1,30359b,72,2
7965-1,30374,41,2
7965-1,3039pr0015,0,2
7965-1,3040b,19,2
7965-1,30414,72,2
7965-1,32054,4,2
7965-1,3245c,71,2
7965-1,32526,71,2
7965-1,32557,71,2
7965-1,3460,72,2
7965-1,3701,19,2
7965-1,3832,19,2
7965-1,3839b,72,2
7965-1,4085c,72,2
7965-1,42445,71,2
7965-1,4274,71,2
7965-1,4274,1,2
7965-1,43093,1,2
7965-1,43722,71,2
7965-1,43723,71,2
7965-1,4445,71,2
7965-1,44728,71,2
7965-1,4510,15,2
7965-1,4590,72,2
7965-1,4740,15,2
7965-1,4865a,19,2
7965-1,52107,0,2
7965-1,59900,0,2
7965-1,6019,15,2
7965-1,60208,72,2
7965-1,6091,19,2
7965-1,6091,71,2
7965-1,6112,71,2
7965-1,61409,72,2
7965-1,6141,72,2
7965-1,6141,41,2
7965-1,6141,47,2
7965-1,6177,71,2
7965-1,6190,72,2
7965-1,62462,71,2
7965-1,62701,135,2
7965-1,6541,1,2
7965-1,87087,72,2
7965-1,92438,71,2
7965-1,2419,71,1
7965-1,2420,71,1
7965-1,2431,0,1
7965-1,2431,71,1
7965-1,2432,72,1
7965-1,2436,0,1
7965-1,2445,71,1
7965-1,2445,0,1
7965-1,2570,148,1
7965-1,2654,4,1
7965-1,3004,4,1
7965-1,3032,72,1
7965-1,3032,0,1
7965-1,3033,71,1
7965-1,3035,72,1
7965-1,30368,0,1
7965-1,30370,71,1
7965-1,30374,36,1
7965-1,30377,71,1
7965-1,30381,70,1
7965-1,3039,71,1
7965-1,30414,19,1
7965-1,3043,0,1
7965-1,30483pr0001,70,1
7965-1,3065,33,1
7965-1,3069bpr0030,72,1
7965-1,3069bpr0070,0,1
7965-1,3069bpr0090,72,1
7965-1,32531,71,1
7965-1,32532,71,1
7965-1,3626bpr0638,78,1
7965-1,3626bpr0639,71,1
7965-1,3626bpr0648,78,1
7965-1,3626bpr0655,78,1
7965-1,3626bpr0820,78,1
7965-1,3710,71,1
7965-1,3795,320,1
7965-1,3899,4,1
7965-1,3901,70,1
7965-1,3937,15,1
7965-1,3960pr0008,47,1
7965-1,4006,0,1
7965-1,4032a,0,1
7965-1,41539,71,1
7965-1,41769,71,1
7965-1,41770,71,1
7965-1,4274,1,1
7965-1,4345b,15,1
7965-1,4346,15,1
7965-1,44375a,71,1
7965-1,4522,0,1
7965-1,4733,15,1
7965-1,47543,71,1
7965-1,47543pr0001b,47,1
7965-1,50231,70,1
7965-1,50231,0,1
7965-1,51739,72,1
7965-1,59349,72,1
7965-1,60479,71,1
7965-1,6106,71,1
7965-1,6134,4,1
7965-1,6141,47,1
7965-1,6141,41,1
7965-1,61485,0,1
7965-1,61780,72,1
7965-1,78c19,41,1
7965-1,86208,71,1
7965-1,87081,0,1
7965-1,87544,71,1
7965-1,87609,15,1
7965-1,92593,15,1
7965-1,92746,19,1
7965-1,92758,308,1
7965-1,970c00,70,1
7965-1,970c00,0,1
7965-1,970c00,15,1
7965-1,970c00,19,1
7965-1,970c00pr0240,272,1
7965-1,970x001pr0113,19,1
7965-1,973c32,70,1
7965-1,973pr0510c01,15,1
7965-1,973pr0530c01,19,1
7965-1,973pr1331c01,0,1
7965-1,973pr1332c01,15,1
7965-1,973pr1469c01,0,1
